Name ;Adress;zip_code ;city;country ;lattitude ;longitude 
BVA1 - Amazon Boves1 Avenue du Superbe Orenoque;;80440;Boves;France;;
LIL1 - Amazon Lauwin Planque;1 rue Amazon;59553;Lauwin Planque;France;;
LYS1 - Amazon Sevrey;1 Rue Amazon;71100;Distripole Chalon;France;;
MRS1 - Amazon Montelimar;Building II ZAC Les Portes de Provence;26200;Montelimar;France;;
ORY1 - Amazon Saran;1401 rue du Champ Rouge;45770;Saran;France;;
XFRE - Geodis Logistics Satolas;Parc des Chenes Nord 135, Rue du Brisson ZI St Quentin Fallavier;38290;Satolas-et-Bonce;France;;
XFRF - Entrepot Kuehne & Nagel;Avenue Louis Renault, Batiment 3, ZAC du Val Braon;77610;Chatres en Brie;France;;
XFRG - Entrepot XPO Logistics Artenay;ZAC du Moulin;45410;Artenay;France;;
XFRH - Entrepot XPO Logistics Moissy Cramayel;Parc de Chanteloup Batiment 8A;77550;Moissy Cramayel;France;;
